Abbe Museum
"Abbot, Dr. Charles"
"Abbott, Howard"
"Abenaki Nation, Republic of Missisquoi, Chief Homer St. Francis"
"Addis, A."
"Adler, A."
Ak Chin Indian Community
Alabama
Alabama/Quassarte Tribal Town
Allen
"Allen, George"
"Allen, Richard"
"Allen, Thomas"
"Alton, Thomas"
American Antiquarian Society
American Museum of Natural History
Amherst College
"Amidon, R"
Amsden and Guernsey
"Amsden, Monroe"
"Anderson, Clifford"
Andover Conservation Commision
Andover Historical Society
Andover Village Impr
"Angus, L"
"Angus, Phoebe"
"Angus, William"
Anonymous
"Antupit, Samuel & Rollie"
"Appleton, R."
"Arista, Manuel"
Arizona State Museum
"Arthur, John"
Auckland Museum
"Austin, Oliver"
"Austin, Tex"
"Austin, William"
"Aydlotte, Charles"
"Ayers, N. M."
"Bach, C. F."
"Back, Samuel"
"Bailey, H."
"Bailey, J.W.T."
"Bailey, Warren"
"Baker, Mr."
"Baldwin, Mrs. C. H."
"Ballis, Orville"
"Bandelier, Adolf"
Bangor Hydro- Electr
"Barber, Fred"
"Barber, R."
"Barker, George"
"Barnard, Dr. W."
Barron
"Barrot, A."
"Barrow, Sarah"
"Barry, J."
"Barter, N"
Barth
"Bartlett, Gordon"
"Bartlett, Harriet"
"Bartlett, Sally"
Bass River Golf Club
"Bassett, Ann"
"Bateman, F."
"Bates (Mrs.), Oric"
"Batiste, Andrew"
"Bearse, Horace"
"Beencke, Chac. J."
"Belcher, William"
"Bell, Mr."
"Bellantoni, Nick"
"Benedict, Elaine"
Bennett
"Bennett, E.H."
"Beranek, Christa"
"Bernard, Julie"
"Berry, Benjamin"
"Bickmore, Mr."
"Bicknell, Steve"
"Bierbower, G.H."
"Bigelow, F."
"Bigelow, O"
Billerica Historical Society
"Birge, June Bingham"
"Birtles, William"
"Bishop, Broughton"
"Blackmore, Dr. R."
"Blagden, J"
"Blane, Capt."
"Blaney, Dwight"
"Blustain, Malinda"
"Boatz, C"
"Boggs, Stanley"
"Bohm, Jack"
"Bonney, Everett"
"Borrowdale, C."
Boston University
"Boudreau, Jeff"
"Bourassa, William"
"Bourque, Bruce"
"Boutwell, Winthrop"
"Bowen, Edw"
"Bowles, Gordon"
Boy Scouts
Boys of Pineville
BP & R
Bracket
Bradley
"Bradley, James"
"Bradley, Phillips"
"Bradley, Roger"
"Brawner, Morgan"
"Brear, George"
"Brewer, Jesse"
"Brewer, Less"
"Briggs, Harry"
"Briggs, L. E."
"Brightman, F."
"Brokaw, W"
"Brookfield, Drake"
"Brooks, Edward"
"Brough, John"
"Browne, J."
"Bryan, O"
"Bryant, Josephine"
"Bryon, Ward"
"Bull, Norris"
"Bullen, Adelaide"
"Bullen, Ripley"
"Bullis, R"
"Burden, William"
"Burgess, Melvin"
"Burke, Matt"
"Burns, Marilyn"
"Burr, George"
"Bush, A"
"Bushey, F."
"Bussing, D."
"Butler, Fred"
"Butler, M. C."
"Butter, Fred"
Buttonwoods Museum/Haverhill Historical Society
"Buttrick, Frank"
"Butts, E."
"Buzarewicz, Stanley"
"Byers, Dorothy"
"Byers, Douglas"
"Byers, Mrs. William"
"Byington, E. S."
"Caaldwell, F."
"Cabot, Samuel"
"Caldwell, F"
"Caldwell, T."
"Calluanuapa, Nilda"
"Campbell, Ann"
"Carr, Charles"
"Carrow, Sarah"
"Carter, Charles"
"Carter, David"
"Carter, N."
"Carter, Samuel"
"Carter, W."
"Carty, Fred"
"Carty, Helen"
"Carty, Roy"
"Cass, E."
"Cedenbough, J"
"Ceveland, William"
"Chadwick, George"
"Chadwick, Walter"
"Chandler, Dorothy"
"Chapin, Curtis"
"Chapin, E. Gardner"
"Chapin, Elizabeth"
"Chapin, Melville"
"Chapman, Elizabeth"
Charles Ward
"Charles, Ira"
"Cheney, David"
Cherokee Nation of Oklahoma
"Childs, Solonis"
"Christy, Ira"
"Chubbuck, C."
"Clark, Lincoln"
"Clark, William"
"Clarke, Earnest"
"Clarke, J."
"Claywell, R"
"Clegg, Thomas"
Clonse?
"Clough, Don"
"Cloyd, Frances"
"Cloyd, Marshall"
"Clyne, DR. A. G."
"Coates, Irving"
"Cobb, Arthur"
"Cochran, John"
"Cole, Philip"
"Coleman, Clarence"
"Collins, Henry"
"Colton, Harold"
Comanche Tribal Business Committee
"Comin, Robert"
"Concheri, L."
"Concheri, Richard"
Connecticut Historical Society
"Conroy, Oliver"
"Converse, A."
"Convery, James"
"Cooke, John"
"Coolidge, Mr."
"Coon, C."
"Corbett, Thomas"
"Cordell, Linda"
"Cosgrove, C."
"Countryman, Charles"
"Cowan, Douglas"
"Crabtree, Don"
"Craig, J."
"Crane, Alexander"
"Crane, Charles"
"Crane, Priscilla"
"Crawford, Lamar"
"Cremo, Peter"
Croswell
"Crowell, Frank"
"Crowell, Joshua"
"Cummings, A.S."
"Cummings, Mrs. L. A."
"Curran, David"
"Curtin, William"
"Curtis, Howard"
"Curtis, Milo"
"Cushman, Arthur"
"Cutter, H."
Dalabarre
Dan's Brothers
"Danforth, H."
"David, Ring"
Davis Brothers
"Dawe, Robert"
"Deabarre, E."
"Decker, J."
"Deiker, C. K."
"Deisher, H"
"DeJarnette, D."
"Delabarre, E."
"Delano, G."
"Delany, Fraser"
"Dempsey, Jack"
"Deny, Henriette"
"Deny, Mrs. Joe"
"Deny, Mrs. Peter"
"Deny, Mrs. Simon"
"Deny, Peter"
Dept. Fund
"Derby, Jr., J. H."
"Derby, Ruth"
"Dersher, H"
"DeYoung, Teri"
