,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
759,,Eye and of needle.,blue hill fall else ,2120,French of Section ll. and shell layer.,Me. 152/1,Nevin Shellheap,Photo.No.,,0rig.No.2282,25,25_2120.pdf.png
1834,,Not shed.,blue hill falls me ,714,French 10.4 Section of. In shells beneath plow line.,Me. 152/1,Nevin Shellheap,PhotmNo-,,128,3,3_0714.pdf.png
5583,,arrowhead,south wellfleet massachusetts ,15171,,,Land of Est. of G. 5. MacFarland south side of Indian River,,Round in 1925.,,141,141_15171.pdf.png
8386,,mm and tooth two perforations.,hopedale nlabrador ,1355,,,,PhotO-NO-,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,17 7076,17,17_1355.pdf.png
1854,,Late fragment of bayonet point.,blue hill fall lame ,734,French of/Of(stake). 410m. from top of heap in pebbles.,Me. 152/1,Nevin Shellheap,Photo.No.,,249,3,3_0734.pdf.png
4271,,Lip of barbed bone point,iv line her spun west short has to an per re he ,13088,anger 1.,M12/43,Mincher's Point,Photo.No.,Am k)26O) On ted by Or. I.W. Kingsbury Merry He. C. 1950.,85,137,137_13088.pdf.png
8848,,arrowhead,south wellfleet massachusetts ,15320,,,"North Side of Blackfish Cr., East of RR",,Round by John E. Hopkinson in 1929.,,141,141_15320.pdf.png
1719,,Not herds,sell lie ,599,nm on French of.2) Pat on Of. In shells of in mixed shell and pebble.,Me. 152/1,Nevin Shellheap,Photo.No.,,,3,3_0599.pdf.png
1218,,Late scraped.,blue hill he ,2599,human French 19.1 Section 43. Black human and pebFlosa cm. below of.l/Of.,Me. 152/1,Nevin Shellheap,,,one. NUV,25,25_2599.pdf.png
6956,,Fragment. of a large whipped be-rat',,9608,"U"" F'll'1710') of u/",Me. 152/7,Was n T (77 in d,,0 of 3,,120,120_9608.pdf.png
5922,,Utilized chip,ellsworth fall me ,11530,"Of 10"" E of 6 11ne3 28"" N of C line- ZOLl below level of 07711.",,Smith's Farm,Photo.No.,Under alder roots compact clay layer( mottled). Puff.,D6. 23,129,129_11530.pdf.png
444,,3 quart arrowpoints.,me as tend of squibnocket pond martha vineyards mass ,297,Dec. 408 in shell.,M50/1,Hornblower Shell Heap,PhOm-NO-,,,2,2_0297.pdf.png
1160,,But and perforated or notch bird bone.,falls ,2534,Grave 5. 71521613 am field chart. Parallel to north end west side of awl 3121631.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.g383,25,25_2534.pdf.png
5199,,part of arrow head,wellfleet massachusetts ,14567,Top of hill in cow pasture.,,North of Chequesset Inn and Neck Road,,Round in 1916.,816,141,141_14567.pdf.png
1792,,,blue hill oh ll she ,672,French IRL Section of. Pocket of 531911 near,Me. 152/1,,,,,3,3_0672.pdf.png
4074,,the Fragments of bone,alaska highway west of wh if horse lyon territory ,12737,excavated from lowest turf layer stratum 3 south end of trench.,,Can yon no . 1,,F.J. Upon Notes June G 10u8./,22,135,135_12737.pdf.png
5404,,fragment of whipped implements,well flee massachusetts ,14806,High land northeast of southeast end.,,"Herring River Dyke, east end",,Round in 1918.,1013,141,141_14806.pdf.png
8582,,"It of small polished chisel of greenston
4	1	1	1	2	0	669	124	570	44	-1	
5	1	1	1	2	1	669	124	314	44	16	piano-convex
5	1	1	1	2	2	1020	130	219	31	79	x-section
2	1	2	0	0	0	77	214	859	48	-1	
3	1	2	1	0	0	77	214	859	48	-1	
4	1	2	1	1	0	77	214	859	48	-1	
5	1	2	1	1	1	77	218	78	30	89	Act.
5	1	2	1	1	2	172	218	66	30	85	To.
5	1	2	1	1	3	290	220	69	32	82	125
5	1	2	1	1	4	517	217	69	31	83	Site
5	1	2	1	1	5	659	214	101	48	63	Gasp",ellsworth fall maine ,10151,"Of - Topsoil. 52-5"" North x(rum Wash depth 6""",Me. 152/7,Hay Island,,,,125,125_10151.jpg.png
1509,,Broken plumes.,bu eh fall the ,2898,French of Section Of. Shell flecked human and pebbles east side of west boundary.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig-N0-1667,25,25_2898.pdf.png
4028,,Broken scraped,snore directly opposite led port aaelake no ou same u,12666,311 r f a c 6,H35,,Photo.No.,,,134,134_12666.pdf.png
3360,,of Worked fragment or knife'falsity,low les who up long ,8616,"Ran tact mtvzucn 0'an'.'- - ant. street. 6"" into of. Q 11 3/4"" total depth 35"" b-u-low date.",M12/43,".""r'a..k Smith",,,,115,115_8616.pdf.png
3705,,arrowhead,south wellfleet massachusetts ,15027,Of owed gr round.,,North Side of Meadow east of RR station,,by Penn n. Hopkinson in 1921.,12514,141,141_15027.pdf.png
5933,,Lake.,trent om newjersey ,1615,,,,,Exchange with University Museum Philadelphia.,606,20,20_1615.pdf.png
4588,,2 pottery fragments',pick to count lnovascotia ,13565,,,Quarry Islanch Merigomish Harbor,,,,139,139_13565.pdf.png
7098,,Pieces of birchbark prepared for,east bank bolder creek northeast of lane lake upon territory ,12880,,,"Brush Camp A, Yukon Territory",,F.J. Upon Notes.,80 .,135,135_12880.pdf.png
6151,,Broken arrowpoint.,warren mass ,1835,,,,,Rake collection Brookfielm Pass.,69,21,21_1835.pdf.png
6332,,worked vert era.,coast channel islands california ,4093,,,,Photo.No.,Exchange with Southwest Museum Os Angeles'Pal.,,28,28_4093.pdf.png
7555,,W.'h.'/)hw7r444L4k,no with all ,9027,Area 1. sq. 80 from 80. 58 from 90. 6 deep in shell.. below date I.,M13/77,great. Neck - I,,,253,116,116_9027.pdf.png
6303,,Wooden handle for knife.,channel islands california ,4063,,,,,Exchange with Southwest Museum Toe Angeles- Pal.,,28,28_4063.pdf.png
4047,,C h i p 8,ne shore end lake ashuapmuchuan ,12687,Our a c 3,M 50/9,,,,,134,134_12687.pdf.png
2230,,Case of quartette scraped.,northshore of upper chestnut hill reservoir ly east killing am corn ,1029,In yellow sand below base of loam.,M50/1,E.D Prey c7/1,Photo.N0-,,1,4,4_1029.pdf.png
7691,,Projectiles point,dennysville maine ,11720,"15"" F-L 51"" F-go 25"" below surface.",Me. 152/1,Denn rs diver-,,invade of into falsity'2'2 worked'2,-122,130,130_11720.pdf.png
8796,,hammer st one,south wellfleet massachusetts ,15169,,,Garden of G.S. MacFarland on North Side,,And in 1925.,,141,141_15169.pdf.png
5143,,lake,south well flee massachusetts ,14502,,,Pleasant Point,,Round in 1916.,752,141,141_14502.pdf.png
8367,,Not'her word marked'f,hamilton go met g ohio ,6286,Round IIL General Digging.,,Turner Mounds,,Collected by Putnam Met in 1884. Embody Sewn Necks exchange.,34836,34,34_6286.pdf.png
1863,,Arrowhead.,blue hill falls me ,743,Of. In shell below plow line.,Me. 152/1,Nevin Shellheap,,,,3,3_0743.pdf.png
1591,,Enter time.,blue nl fall the ,2980,French 10.2 Section 10E. Must under shell lens about middle of 10.2 line.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.2983,25,25_2980.pdf.png
3643,,Lakes,about one mile northwest of obedjewan ran iaportage at southern of large island lake mistassini ,11129,Turf ac e,,,,,,126,126_11129.pdf.png
7422,,Trianguloim anymetrig straight,is win mass ,8820,"Area'I Q. 13L. 15"" from th on from him In deep. in brown clay(no shell here). 27"" be or date To",He.152/1,Great Beach Hill,,,95,116,116_8820.pdf.png
955,,Butt of knife.,in ad by blue hill fall she ,2317,Of. Upper part of black human below shell.,Me. 152/1,Nevin Shellheap,thw-Nb-,,,25,25_2317.pdf.png
3341,.,Line Herd'mineral tempered,old trick et jr ou nail andover ,8603,Surface collect ton,M50/1,Old Cricket Jround,Photo.No.,,,115,115_8603.pdf.png
5131,,Piece of French flint,south wellfleet massachusetts ,14486,,,Pleasant Point,I uno.IWo.,Round in 1916.,736,141,141_14486.pdf.png
8333,,3 fragments of skin with beads stuck to them.,near aim nlabrador ,1515,,,Nukasujuktok Island,Photo.N0-,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,177230,17,17_1515.pdf.png
2753,,worked beaverinciaor'lower,paw oh jugs ,8905,Area 1. Q. 16-1 Round in chip has for brown clay below shell.,M13/77,Great Beach Hill,,,510,116,116_8905.pdf.png
6475,,Hodgkin or needle.,richmond ontario no ,1942,,,Be 8d .,Photo.No-,Prehistoric Seneca. Exchange with municipal Museum Rochester'of.,11713,23,23_1942.pdf.png
8287,,Small string of beads some glass.,near aim nlabrador ,1531,,,Nukasujuktok Island,PhotO-NO-,My Exchange with Field Museum Chicago. Collected by Duncan Strong.,177287,17,17_1531.pdf.png
7725,,Pottery,downy ville maine ,11842,"5-1 140"" to H-L Of"" to a-pg fig"" below surge ce.",M 50/9,Denn-xs diver,,,44/2,130,130_11842.pdf.png
