,Cat Number,Site Number,Locality,Site,Name,Situation,AccNum,fileLocation
0,7,M50/1," Squibnocket Head, sou
Martha' 8 Vineyard, Ma:", Squibnocket Cliff ., Crude quartz arrowheac‘, On top of heap.,1.0,peabody_files/Accession Files/1/1_0007.pdf.png
1,12,M50/1," Squibnocket Head, sow
Martha' 6 Vineyard, Mal", Squibnocket Cliff ., Point of crude arrowhe," In top layer of broken shell and loam almost upor

__¢I_ _L-1‘I -I_",1.0,peabody_files/Accession Files/1/1_0012.pdf.png
2,18,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibnocket Cliff.," Crude knife H), quar‘", Bottom of scallop shells.,1.0,peabody_files/Accession Files/1/1_0018.pdf.png
3,23,M50/1," Squibnocket Head, sout
Martha' 3 Vineyard Mas", Squibnocket Cliff., Crude arrowhead.,35mm“ Below second shell layer in yellowish black humus,1.0,peabody_files/Accession Files/1/1_0023.pdf.png
4,26,M50/1," Squibnocket Head, so
Martha‘ a vineyard, M", Squibnocket Cliff., Quartz knife., In humus below first shell in W. side of heap.,1.0,peabody_files/Accession Files/1/1_0026.pdf.png
5,27,M50/1,"140981“? Squibnocket Read, 30111
Martha' a Vineyard Mat", Squibnocket Cliff., Quartz flake arrow., In humus below second shell in W. side of heap.,1.0,peabody_files/Accession Files/1/1_0027.pdf.png
6,28,M50/1," Squibnocket Head, sou1
Martha' 3 Vineyard, Mat", Squibnooket 01 if f .,N‘me Quartz arrow., In humus near pocket of second shells.,1.0,peabody_files/Accession Files/1/1_0028.pdf.png
7,29,M50/1," Squibnocket Head, so
Martha' 3 Vineyard, M", Squibnocket Cliff ., Butt of‘large chippet, In black muddy loam west end of heap.,1.0,peabody_files/Accession Files/1/1_0029.pdf.png
8,30,M50/1," Squibnocket Head, sout
Martha.‘ 8 Vineyard, Mas", Squibno cket Cl iff .,"

Hoe.", Trench I at base of shells.,1.0,peabody_files/Accession Files/1/1_0030.pdf.png
9,35,M50/1," Squibnocket Head, sou“
Martha's Vineyard, Ma:", Squibnocket Cliff., one quartz arrow., Upper shell Tr.1.,1.0,peabody_files/Accession Files/1/1_0035.pdf.png
10,37,M50/1,"hx??y Squibnocket Head, so
Martha's Vineyard, M", Squibnocket Cliff., Broken arrow., In shell in Tr. I.,1.0,peabody_files/Accession Files/1/1_0037.pdf.png
11,38,M50/1," Squibnocket Head, Bout
Martha' 8 Vineyard, Mae", Squibnocket Cliff.," Crude unfinished chipp

__A.l_‘A.", In shell in TI.I.,1.0,peabody_files/Accession Files/1/1_0038.pdf.png
12,39,M50/1," Squibnocket Head, so
Martha' 5 Vineyard, M

-L -‘I'I", Squibnocket Cliff ., Crude notched sinker., In small/pit located on bank east of excavation.,1.0,peabody_files/Accession Files/1/1_0039.pdf.png
13,49,M50/1," Squibnocket Head, 90‘
Martha's Vineyard, M", Squibnocket Cliff., Middle of bone ail.," First shell layer, W. end.",1.0,peabody_files/Accession Files/1/1_0049.pdf.png
14,58,M50/1," Squibnocket Head, sou‘
Martha’s Vineyayd, Ma:", Squibnocket Cliff., 'Awl with point and has, In base of first shell in W. part of heap.,1.0,peabody_files/Accession Files/1/1_0058.pdf.png
15,60,M50/1," Squibnocket Head, so
Martha's Vineyard, M", Squibnocket Cliff., I’ierced fish vertabra, Found in looking over scrap.,1.0,peabody_files/Accession Files/1/1_0060.pdf.png
16,63,M50/1," S quibnocket Head, sou1
Martha' 8 Vineyard, Ma:", Squibnocket Cliff., Scraps 01’ crude potter, Top of first shell layer.,1.0,peabody_files/Accession Files/1/1_0063.pdf.png
17,66,M50/1," Squibnocket Head, aou‘
Martha's Vineyard, Mal", Squibnocket 01 iff ., Small pieom, Found in looking over scrap.,1.0,peabody_files/Accession Files/1/1_0066.pdf.png
18,1548,nan,"Wt? From camp at ""Tom 1111]
near Mono Lake, Ga11f<",". pinon pine, handles ho
5‘“ over cord.", ”8:156:54” for 0333.9 at?,,18.0,peabody_files/Accession Files/10/18_1548.pdf.png
19,1549,nan," From camp near l'Willie
Mono Lake.",horsehair handles Mono Indians .," ""8.156! pottle £013-08???",,18.0,peabody_files/Accession Files/10/18_1549.pdf.png
20,1550,nan," Mary's Camp, Yosemite,", Miwok .," Einnowing plate.

A-._L1.l__._ L___‘ _A--l1",,18.0,peabody_files/Accession Files/10/18_1550.pdf.png
21,1553,nan, Madera or Mariposa cou,"manposa counues o from root of tall ""brake‘I"," Basket made of the zoo

.__.__‘ 3A--..) 1.. 4.1.- .a-_.LL,I-|-I",,18.0,peabody_files/Accession Files/10/18_1553.pdf.png
22,1556,nan, California.,, Food_‘9§.sket. “Iona Ix;,,18.0,peabody_files/Accession Files/10/18_1556.pdf.png
23,1557,nan," ""Capt. Alleck's camp"",
Valley, California.","

Maidu."," Cooking basket. Has b

I—qA,",,18.0,peabody_files/Accession Files/10/18_1557.pdf.png
24,1558,nan," American Valley, 08.111", Ma idu .," 090k1ng paaket. Of w}

1——",,18.0,peabody_files/Accession Files/10/18_1558.pdf.png
25,1560,nan," Camp at “Williams Ram
Lake, California.",( mono lndl an, Burden baskej; of w}1]_._c_:,,18.0,peabody_files/Accession Files/10/18_1560.pdf.png
26,1563,nan," “Bob's Camp"" (America:
Plumas Co. , Californiz",weave Maidu ?," Burden basket. willow

71“.. _--.L- M_#J__1 I!",,18.0,peabody_files/Accession Files/10/18_1563.pdf.png
27,1564,nan," American Valley, Plum:",almanac. wormananlp Maidu .," Basket made by nary Ha

—————— 27-1 ‘ A.- H1--_-",,18.0,peabody_files/Accession Files/10/18_1564.pdf.png
28,1566,nan, California.,". ulono Indian)
Sxte"," Cooking basket of will

_-LJ.-.._ “_‘_-L- ______",,18.0,peabody_files/Accession Files/10/18_1566.pdf.png
29,1567,nan,“unity California.,"_ Sierras. (Madera Co.
5“"" Yokuts ?", Basket _made_ 91’ the IOC,,18.0,peabody_files/Accession Files/10/18_1567.pdf.png
30,1568,nan,"“minty Camp on headwaters 0:
near Cass Diablo Spr‘", Mono Indian., Unfinished water-bot1,,18.0,peabody_files/Accession Files/10/18_1568.pdf.png
31,1570,nan," Camp at Williams Ra:
Lake, California.", (Mono Indian)," Cooking basket of n1

bn4ti+a sunny-IA “uni-Juan...",,18.0,peabody_files/Accession Files/10/18_1570.pdf.png
32,1571,nan, Unknown ., (Alaska Indian),N‘me Grass basket .,,18.0,peabody_files/Accession Files/10/18_1571.pdf.png
33,1574,nan," ""Mary's camp"", Yosemi'
California.",. weave. (Yosemite Ind Miwok 7, DIYE’ng basket. Heed 1,,18.0,peabody_files/Accession Files/10/18_1574.pdf.png
34,1575,nan,"‘ Site No Camp near Ahwahnee, Me.","—~—- ULyJJLg 08.815513. U836. f
hulled acorns before ggigdin.

Inno'l ilk—3 --"" , A",nan,nan,18.0,peabody_files/Accession Files/10/18_1575.pdf.png
35,1582,nan," ""?ary's camp” Califorr","

Miwok ."," Gathering basket. (Yo

on, IIA ?“__‘l__ll",,18.0,peabody_files/Accession Files/10/18_1582.pdf.png
36,1586,nan," ""Soda springs camp“ ne
Valley, Plumae 00., Ca", (Modoo Indian),"

Bagket. of 5:98.}; used 1",,18.0,peabody_files/Accession Files/10/18_1586.pdf.png
37,1587,nan," ""Mary's camp“,Yosem1t<
California.", (Yosemite Indian) Miw," Burden basket of willo

”A --_¢I d- - __-_-",,18.0,peabody_files/Accession Files/10/18_1587.pdf.png
38,1589,nan, California., Modoc Indian .," Man's hat. 01’ grass,

n+m‘mm",,18.0,peabody_files/Accession Files/10/18_1589.pdf.png
39,1591,nan, California., (Modoc Indian), Grass basket. Woven 0‘,,18.0,peabody_files/Accession Files/10/18_1591.pdf.png
40,1592,nan," Camp on headwaters of
near ""Case. Diablo' Sp]",L?U. UH. auuuLu Mono Indian.," Fish basket. containi

mommdna ‘n nun-Lam ‘A 1-1.“ -A",,18.0,peabody_files/Accession Files/10/18_1592.pdf.png
41,1594,nan, California.,09.1: we neatlng 81301188 men I Made of slender oak bran," Barry-18.. Used in at:

a--__. _-——.I A..- .__1_J'I A ___‘,j,,",,18.0,peabody_files/Accession Files/10/18_1594.pdf.png
42,1596,nan,L°°81ity Unrecorded .," California Indian, nos", Small basket bowl.,,18.0,peabody_files/Accession Files/10/18_1596.pdf.png
43,1597,nan,Want)” Unrecorded.," California Indian, pos", Small basketry bowl.,,18.0,peabody_files/Accession Files/10/18_1597.pdf.png
44,1599,nan, Unrecorded .,"

California Indian, po",N?me Small basket .,,18.0,peabody_files/Accession Files/10/18_1599.pdf.png
45,1604,nan, Unrecorded.,5‘“ Hopi Ind ian .,nan,,18.0,peabody_files/Accession Files/10/18_1604.pdf.png
46,1605,nan,W381“! Unreoorded., Hopi Indian ., Coiled basketry tray.,,18.0,peabody_files/Accession Files/10/18_1605.pdf.png
47,1609,nan," Burlington County, New",,N?me Knife.,,20.0,peabody_files/Accession Files/11/20_1609.pdf.png
48,1618,nan,"10°81“? Trenton, New Jersey.",, m1: 3.,,20.0,peabody_files/Accession Files/11/20_1618.pdf.png
49,1675,nan," Bucks County, Pennsyl‘", Ne shaminy Val 1 ey ., Blade .,,20.0,peabody_files/Accession Files/11/20_1675.pdf.png
50,1676,nan," Bucks County, Pennsyl‘", Ne shaminy Valley -,"

Blade .",,20.0,peabody_files/Accession Files/11/20_1676.pdf.png
51,1677,nan," Bucks County, Pennsyl‘", Ne shaminy Valley ., Blade .,,20.0,peabody_files/Accession Files/11/20_1677.pdf.png
52,1678,nan, Bucks County Penns?yl‘, Ne shaminy Valley .,"

Blade .",,20.0,peabody_files/Accession Files/11/20_1678.pdf.png
53,1685,nan,‘ Wit? Pennsylvania.,, Blade.,,20.0,peabody_files/Accession Files/11/20_1685.pdf.png
54,1692,nan,10°th Pennsylvania.,, Scraper .,,20.0,peabody_files/Accession Files/11/20_1692.pdf.png
55,1699,nan,‘ WW Pennsylvania .,,I Arrowpoint .,,20.0,peabody_files/Accession Files/11/20_1699.pdf.png
56,1703,nan," Bucks County, Pennsvl‘", Point Pleasant .,Nine Net sinker.,,20.0,peabody_files/Accession Files/11/20_1703.pdf.png
57,1707,nan," Bucks County, Pennaylv", Near Kintnerav?le ., Pot shard.,,20.0,peabody_files/Accession Files/11/20_1707.pdf.png
58,1720,nan, Susquehanna River .,Si“ Hall' 3 Island., Arrowpoint .,,20.0,peabody_files/Accession Files/11/20_1720.pdf.png
59,1733,nan,"‘ Wit? Kent County, Maryland", Near Rock Hall ., Arrowpoint .,,20.0,peabody_files/Accession Files/11/20_1733.pdf.png
60,1796,nan," W. Brookfield, Mass.", :er. 3.1:. Tyler‘s Farm, broken arIOWpoint .,,21.0,peabody_files/Accession Files/12/21_1796.pdf.png
61,1797,nan, ‘y‘ . Brook, Mr s . E . LI, broken a.,,21.0,peabody_files/Accession Files/12/21_1797.pdf.png
62,1804,nan,"Wality Warren ,",, Broken ‘ a,,21.0,peabody_files/Accession Files/12/21_1804.pdf.png
63,1806,nan,"L°¢a1ity Warren, Mass.",, Broken arrowpoint.,,21.0,peabody_files/Accession Files/12/21_1806.pdf.png
64,1816,nan,"‘ WW Warren, Mass.", Near Town Farm ., Broken arrowooint .,,21.0,peabody_files/Accession Files/12/21_1816.pdf.png
65,1818,nan,"l 10°31“? Warren, Mass.",, Broken arrowpoint .,,21.0,peabody_files/Accession Files/12/21_1818.pdf.png
66,1824,nan,"J Localit31’ Warren, Mass.", Near Quaboag River., Broken arrowpoint .,,21.0,peabody_files/Accession Files/12/21_1824.pdf.png
67,1834,nan,"MW Warren, Mass.

‘",, Broken arrowpoint .,,21.0,peabody_files/Accession Files/12/21_1834.pdf.png
68,1837,nan,". L“*m3 Warren

Mass.",,Nlme Broken arrowpoint .,,21.0,peabody_files/Accession Files/12/21_1837.pdf.png
