,Cat Number,Site Number,Locality,Site,Name,Situation,AccNum,fileLocation
0,1,M50/1," Squibnocket Head, so
Martha' 3 Vineyard, M", Squibnocket Cliff ., Butt of arrowhead., on sand under shell just south of stake 1.,1,peabody_files/Accession Files/1/1_0001.pdf.png
1,2,M50/1,"Lmnmw Squibnocket Head, so
Martha's Vineyard, M", Squibnocket Cliff., Butt of quartz knife., Black sandy loam near stake 2.,1,peabody_files/Accession Files/1/1_0002.pdf.png
2,3,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibnocket Cliff ., Crude quartz point.," Black sandy loam, 1M. east of stake A.",1,peabody_files/Accession Files/1/1_0003.pdf.png
3,4,M50/1," Squibnooket Head, so
Martha's Vineyard, M", Squibnocket Cliff., Urude quartzite apea:, Top of first shell layer.,1,peabody_files/Accession Files/1/1_0004.pdf.png
4,5,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibnocket Cliff ., Crude chopper., Underneath lowest shell layer.,1,peabody_files/Accession Files/1/1_0005.pdf.png
5,6,M50/1," Squibnooket Head, sou
Martha' 8 Vineyard, Ma", Squibnocket Cliff., Crude rectangular qua]," W. of edge of lower shell, near stake A.",1,peabody_files/Accession Files/1/1_0006.pdf.png
6,7,M50/1," Squibnocket Head, sou
Martha' 8 Vineyard, Ma:", Squibnocket Cliff ., Crude quartz arrowheac‘, On top of heap.,1,peabody_files/Accession Files/1/1_0007.pdf.png
7,8,M50/1," Squibnocket Head, sou
Martha' 8 Vineyard, Ma", Squibnocket Cliff ., Crude broken point.," Hard packed loam, W. of stake A.",1,peabody_files/Accession Files/1/1_0008.pdf.png
8,9,M50/1," S quibnocket Head, so
Martha' 8 Vineyard, M", Squibnocket Cl iff ., ktubbing stone., Bottom of first shell layer.,1,peabody_files/Accession Files/1/1_0009.pdf.png
9,10,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibnocket Cliff., ridge of crude chipped, On top of heap.,1,peabody_files/Accession Files/1/1_0010.pdf.png
10,11,M50/1," Squibnocket Head, sou
Martha' 8 Vineyard, Mal", Squibnock et Cl iff ., Rounded butt of quartz, Hard black loam E. of stake 1.,1,peabody_files/Accession Files/1/1_0011.pdf.png
11,12,M50/1," Squibnocket Head, sow
Martha' 6 Vineyard, Mal", Squibnocket Cliff ., Point of crude arrowhe," In top layer of broken shell and loam almost upor

__¢I_ _L-1‘I -I_",1,peabody_files/Accession Files/1/1_0012.pdf.png
12,13,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma:", Squibnocket Cl iff ., Points of quartz arrow., Black occupational dirt.,1,peabody_files/Accession Files/1/1_0013.pdf.png
13,14,M50/1," S quibnocket Head, sou
Martha's Vineyard, Ma", Squibnocket Cliff ., Point of large quartz, On top of heap.,1,peabody_files/Accession Files/1/1_0014.pdf.png
14,15,M50/1," Squibnocket Head, sou
Martha' 5 Vineyard, Ma", Squibnocket Cliff.," Quartz_ar1jow head, thj", Bottom of black loam and shell.,1,peabody_files/Accession Files/1/1_0015.pdf.png
15,16,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma","

Squibnocket Cliff .", Red quartzite k?) arrt, Bottom of black loam and shell.,1,peabody_files/Accession Files/1/1_0016.pdf.png
16,17,M50/1," Squibnocket Head, sou
Martha' 8 Vineyard, Ma", Squibnocket Cliff.," Crude arrow point, n01", Top of heap.,1,peabody_files/Accession Files/1/1_0017.pdf.png
17,18,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibnocket Cliff.," Crude knife H), quar‘", Bottom of scallop shells.,1,peabody_files/Accession Files/1/1_0018.pdf.png
18,19,M50/1," Squibnocket Head, sou
Martha' 6 Vineyard, Ma:

Q", Squibnooket Cliff., Quartz arrow point.,"lower In black dirt above/shell layer N.E. of p11; 3,",1,peabody_files/Accession Files/1/1_0019.pdf.png
19,20,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibno cket Cl iff ., Butt of large crude k1, Pit 4 east of gu11Y-,1,peabody_files/Accession Files/1/1_0020.pdf.png
20,21,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma", Squibnocket Cliff., Broken quartz arrowhe:, First shell layer above scallops.,1,peabody_files/Accession Files/1/1_0021.pdf.png
21,22,M50/1," S quibnocket Head, sou
Martha' 8 Vineyard, Ma:", Squibnocket 01 if f ., Broken quartz arrowhea, Black humus between first and second shell layer:,1,peabody_files/Accession Files/1/1_0022.pdf.png
22,23,M50/1," Squibnocket Head, sout
Martha' 3 Vineyard Mas", Squibnocket Cliff., Crude arrowhead.,35mm“ Below second shell layer in yellowish black humus,1,peabody_files/Accession Files/1/1_0023.pdf.png
23,24,M50/1," Squibnocket Head, so
Martha' 8 Vineyard M", Squibnocket Cliff ., Butt of arrowhead., Below second shell layer in brown humus.,1,peabody_files/Accession Files/1/1_0024.pdf.png
24,25,M50/1," Squibnocket Head, so
Martha' 8 Vineyard, M", Squibno cket Cliff ., Quartz knife., In base of first shell in W. part of heap.,1,peabody_files/Accession Files/1/1_0025.pdf.png
25,26,M50/1," Squibnocket Head, so
Martha‘ a vineyard, M", Squibnocket Cliff., Quartz knife., In humus below first shell in W. side of heap.,1,peabody_files/Accession Files/1/1_0026.pdf.png
26,27,M50/1,"140981“? Squibnocket Read, 30111
Martha' a Vineyard Mat", Squibnocket Cliff., Quartz flake arrow., In humus below second shell in W. side of heap.,1,peabody_files/Accession Files/1/1_0027.pdf.png
27,28,M50/1," Squibnocket Head, sou1
Martha' 3 Vineyard, Mat", Squibnooket 01 if f .,N‘me Quartz arrow., In humus near pocket of second shells.,1,peabody_files/Accession Files/1/1_0028.pdf.png
28,29,M50/1," Squibnocket Head, so
Martha' 3 Vineyard, M", Squibnocket Cliff ., Butt of‘large chippet, In black muddy loam west end of heap.,1,peabody_files/Accession Files/1/1_0029.pdf.png
29,30,M50/1," Squibnocket Head, sout
Martha.‘ 8 Vineyard, Mas", Squibno cket Cl iff .,"

Hoe.", Trench I at base of shells.,1,peabody_files/Accession Files/1/1_0030.pdf.png
30,31,M50/1," Squibnocket Head, 80111
Martha' 3 Vineyard, Mat", Squibnocket Cliff ., Unfinished slate knife, In small shell pit east of shellheaps of,1,peabody_files/Accession Files/1/1_0031.pdf.png
31,32,M50/1," Squibnocket Head, sou
Martha' 8 Vineyard, Ma:", Squibnocket Cliff ., Unfinished quartz lmii, In small shell pit east of shellheap of,1,peabody_files/Accession Files/1/1_0032.pdf.png
32,33,M50/1," Bquibnocket Head, 80111
Martha's Vineyard, Mae", Squibnocket Cliff., Quartz arrowhead., In very small shell pit located on bank east of,1,peabody_files/Accession Files/1/1_0033.pdf.png
33,34,M50/1," Squibnocket Head, Bout
Martha' 8 Vineyard, Mae", Squibnocket Cliff., Flint arrowhead., Top of first shell layer (west).,1,peabody_files/Accession Files/1/1_0034.pdf.png
34,35,M50/1," Squibnocket Head, sou“
Martha's Vineyard, Ma:", Squibnocket Cliff., one quartz arrow., Upper shell Tr.1.,1,peabody_files/Accession Files/1/1_0035.pdf.png
35,36,M50/1," Squibnocket Head, sout
Martha' 8 Vineyard, Mas", Squibnocket Cliff ., Quartz arrow., In shell in Tr.I.,1,peabody_files/Accession Files/1/1_0036.pdf.png
36,37,M50/1,"hx??y Squibnocket Head, so
Martha's Vineyard, M", Squibnocket Cliff., Broken arrow., In shell in Tr. I.,1,peabody_files/Accession Files/1/1_0037.pdf.png
37,38,M50/1," Squibnocket Head, Bout
Martha' 8 Vineyard, Mae", Squibnocket Cliff.," Crude unfinished chipp

__A.l_‘A.", In shell in TI.I.,1,peabody_files/Accession Files/1/1_0038.pdf.png
38,39,M50/1," Squibnocket Head, so
Martha' 5 Vineyard, M

-L -‘I'I", Squibnocket Cliff ., Crude notched sinker., In small/pit located on bank east of excavation.,1,peabody_files/Accession Files/1/1_0039.pdf.png
39,40,M50/1," Squibnocket Head, sout
Martha) 6 Vineyard, Mas", Squibnocket Cliff., Broken point ., Near hearteIII in humus below shells.,1,peabody_files/Accession Files/1/1_0040.pdf.png
40,41,M50/1," Squibnocket Head, sou1
Martha.I s Vineyard, Ma:", Squibnocket 01 if f ., Kameratone., Found in scrap.,1,peabody_files/Accession Files/1/1_0041.pdf.png
41,42,M50/1," Squibnocket Head, aout
Martha' 3 Vineyard, Mae", Squibnooket 01 iff ., Deer ulna. awl.," First shell layer, N.E. of stake B.",1,peabody_files/Accession Files/1/1_0042.pdf.png
42,43,M50/1," Squibnocket Head, 50111
Martha's Vineyard, Ma:", Squibnocket Cliff., Point of broken awl., In hard packed loam.,1,peabody_files/Accession Files/1/1_0043.pdf.png
43,44,M50/1," Squibnocket Head, sou1
Martha' 3 Vineyard, Mas", Squibnocket Cliff ., Bone awl.," Beneath shell in black sandy loam, near stake A",1,peabody_files/Accession Files/1/1_0044.pdf.png
44,45,M50/1,"Lawmw Squibnocket Head, sout
Martha' 8 Vineyard, Mas", Squibnocket Cliff.," Very small. bone awl, o"," Lower scallop shell, near stake B.",1,peabody_files/Accession Files/1/1_0045.pdf.png
45,46,M50/1," Squibnocket Head, eout
Martha' 8 Vineyard, Mae", Squibnocket 01 if f ., Piece of worked bone., Shells of lower layer.,1,peabody_files/Accession Files/1/1_0046.pdf.png
46,47,M50/1," Squibnocket Head, sou
Martha' 3 Vineyard, Ma:", Squibnocket Cliff.,N'me Broken awl ., First shell layer.,1,peabody_files/Accession Files/1/1_0047.pdf.png
47,48,M50/1," Squibnocket Head, sou
Martha' 9 Vineyard, Ma", Squibno cket Clif f ., Bone awl ., Near too of upper shells.,1,peabody_files/Accession Files/1/1_0048.pdf.png
