,Cat Number,Site Number,Locality,Site,Name,Situation
0, 1,M50/1," Squibnocket Head, southwest side 0
Martha' 3 Vineyard, Mass.", Squibnocket Cliff ., Butt of arrowhead., on sand under shell just south of stake 1. I
1, 2,M50/1,"Lmnmw Squibnocket Head, southwest side 0
Martha's Vineyard, Mass.", Squibnocket Cliff., Butt of quartz knife., Black sandy loam near stake 2.
2, 3,M50/1," Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.", Squibnocket Cliff ., Crude quartz point.," Black sandy loam, 1M. east of stake A."
3, 4,M50/1," Squibnocket Head, southwest side 0
Martha's Vineyard, Mass.", Squibnocket Cliff., Urude quartzite Spear., Top of first shell layer.
4,I 5,M50/1,"Ux?ky Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.", Squibnocket Cliff ., Crude chopper., Underneath lowest shell layer.
5, 6,M50/1," Squibnooket Head, southwest side of
Martha' 8 Vineyard, Mass.", Squibnocket Cliff., Crude rectangular quartz scraper.," W. of edge of lower shell, near stake A."
6,I Cat. No. 7,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff .,Name Crude quartz arrowhead.,Situation On top of heap.
7,| Cat. No. 8,M50/1,"Ux??y Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff .,Name Crude broken point.,"Situation Hard packed loam, W. of stake A."
8,Cat. No. 9,M50/1,"Locality S quibnocket Head, southwest side 0
Martha' 8 Vineyard, Mass.",Site Squibnocket Cl iff .,Name ktubbing stone.,Situation Bottom of first shell layer.
9,| Cat. No. 10,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff.,Name ridge of crude chipped blade.,Situation On top of heap.
10,I Cat. No. 11,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnock et Cl iff .,Name Rounded butt of quartz knife.,Situation Hard black loam E. of stake 1.
11,I Cat. No. 12,M50/1,"memw Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff .,Name Point of crude arrowhead.,"Situatim In top layer of broken shell and loam almost upo:

__¢I_ _L-1‘I -I_"
12,I Cat. No. 13,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cl iff .,Name Points of quartz arrow.,Situation Black occupational dirt.
13,| Cat. No. 14,M50/1,"Locality S quibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibnocket Cliff .,Name Point of large quartz blade.,Situation On top of heap.
14,I Cat. No. 15,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 5 Vineyard, Mass.",Site Squibnocket Cliff.,"Name Quartz_ar1jow head, thick butt point",Situation Bottom of black loam and shell.
15,I Cat.No. 16,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.","Site

Squibnocket Cliff .","Name Red quartzite k?) arrowhead, straig]",Situation Bottom of black loam and shell.
16,m Cat. No. 17,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff.,"Name Crude arrow point, not stemmed.",Situation Top of heap.
17,I Cat. No. 18,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff.,"*—

Name Crude knife H), quartz. stemmed.",Situation Bottom of scallop shells.
18,I Cat. No. 19,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 6 Vineyard, Mass.

in",Site Squibnooket Cliff.,Name Quartz arrow point.,"lower
Situation In black dirt above/shell layer N.E. of p11; 3,"
19,I Cat. No. 20,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 9 Vineyard, Mass.",Site Squibno cket Cl iff .,Name Butt of large crude knife.,Situation Pit 4 east of gu11Y-
20,I Cat. No. 21,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff.,Name Broken quartz arrowhead.,Situation First shell layer above scallops.
21,| Cat. No. 22,M50/1,"Locality S quibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket 01 if f .,Name Broken quartz arrowhead.,Situation Black humus between first and second shell layers
22,I Cat. No. 23,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard Mass.",Site Squibnocket Cliff.,Name Crude arrowhead.,35mm“ Below second shell layer in yellowish black humus
23,Cat. No. 24,M50/1,"Locality Squibnocket Head, southwest side 0
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff .,Name Butt of arrowhead.,Situation Below second shell layer in brown humus.
24,Cat. No. 25,M50/1,"Locality Squibnocket Head, southwest side 0
Martha' 8 Vineyard, Mass.",Site Squibno cket Cliff .,Name Quartz knife.,Situation In base of first shell in W. part of heap. I
25,Cat. No. 26,M50/1,"Locality Squibnocket Head, southwest side 0
Martha‘ 8 Vineyard, Mass.",Site Squibnocket Cliff.,Name Quartz knife.,Situation In humus below first shell in W. side of heap. I
26,Cat. No. 27,M50/1,"Locality Squibnocket Head, southwest side of
Martha' a Vineyard Mass.",Site Squibnocket Cliff.,Name Quartz flake arrow.,Situation In humus below second shell in W. side of heap. I
27,| Cat. No. 38,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnooket 01 if f .,N‘me Quartz arrow.,Situation In humus near pocket of second shells.
28,Cat. No. 39,M50/1,"Locality Squibnocket Head, southwest side 0
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff .,Name Butt of‘large chipped knife. I,Situation In black muddy loam west end of heap. I
29,Cat. No. 30,M50/1,"Locality Squibnocket Head, southwest side of
Martha.‘ 8 Vineyard, Mass.",Site Squibno cket Cl iff .,"Name

Hoe.",Situation Trench I at base of shells.
