ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,CAPTION,CAT,CATBY,CATDATE,CATTYPE,CLASSES,COLLDATE,COLLECTION,COLLECTOR,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,CREATOR,CREATOR2,CREATOR3,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DIMTYPE,DISPVALUE,EARLYDATE,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FLAGDATE,FLAGNOTES,FLAGREASON,GPARENT,HOMELOC,IMAGEFILE,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,LATEDATE,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOANRENEW,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,MAINTCYCLE,MAINTDATE,MAINTNOTE,MATERIAL,MEDIUM,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OLDNO,ORIGIN,OTHERNAME,OTHERNO,OUTDATE,PARENT,PEOPLE,POLICYNO,PROVENANCE,PUBNOTES,RECAS,RECDATE,RECFROM,RELATION,RELNOTES,RENEWUNTIL,ROLE,ROLE2,ROLE3,SITE,SITENO,STATUS,STATUSBY,STATUSDATE,STERMS,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE,ACCESSORY,AGE,ASSEMZONE,BAGNO,BOXNO,CHEMCOMP,CIRCUM,CIRCUMFT,CIRCUMIN,COUNT,CRYSTAL,CULTURE,DATINGMETH,DATUM,DEPTH,DEPTHFT,DEPTHIN,DIAMETER,DIAMETERFT,DIAMETERIN,DIMNOTES,ELEMENTS,EPOCH,ERA,EXCAVADATE,EXCAVATEBY,FAMILY,FEATURE,FORMATION,FOSSILS,FOUND,FRACTURE,FRAME,FRAMESIZE,GENUS,GRAINSIZE,HABITAT,HARDNESS,HEIGHT,HEIGHTFT,HEIGHTIN,IDBY,IDDATE,IMAGESIZE,INSCRLANG,INSCRPOS,INSCRTECH,INSCRTEXT,INSCRTRANS,INSCRTYPE,KINGDOM,LENGTH,LENGTHFT,LENGTHIN,LEVEL,LITHOFACIE,LUSTER,MADE,MEMBER,MMARK,NHCLASS,NHORDER,OCCURRENCE,OWNED,PERIOD,PHYLUM,PREPARATOR,PREPDATE,PRESERVE,PRESSURE,REPATBY,REPATCLAIM,REPATDATE,REPATDISP,REPATHAND,REPATNOTES,REPATNOTIC,REPATTYPE,ROCKCLASS,ROCKCOLOR,ROCKORIGIN,ROCKTYPE,SCHOOL,SEX,SIGNEDNAME,SIGNLOC,SPECGRAV,SPECIES,SPROCESS,STAGE,STRATUM,STREAK,SUBFAMILY,SUBSPECIES,TECHNIQUE,TEMPERATUR,TEXTURE,UNIT,USED,VARIETIES,WEIGHT,WEIGHTIN,WEIGHTLB,WIDTH,WIDTHFT,WIDTHIN,XCORD,YCORD,ZCORD
3,0.00,,,,O,Work Duty,05/10/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Pot sherds.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Ceramic,,July 2013 PastPerfect Conversion,3/1000,Sherd,,,A31,United States | ME | Hancock | Blue Hill,,,/ /,Ceramic,,,"Section number - 6E Trench Number - IC.1 to IC.4 Taken from scrap. Locality-Bluehill Falls, ME.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/10/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/10/2016,"Taylor, Marla",/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/10/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Fragment of chipped arrowpoint.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,RSPM,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,NBS,11,16,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1001,"Point, Projectile",,,A32,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Chipped",,,"Provenience Description - From scrap Section number - 6E Trench Number - IC.1 Beneath first shell layer. Taken from scrap Locality-Bluehill Falls, ME.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/10/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/10/2016,"Taylor, Marla",/ /,.F.,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,8,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/10/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Pot sherds.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Ceramic,,July 2013 PastPerfect Conversion,3/1002,Sherd,,,A33,United States | ME | Hancock | Blue Hill,,,/ /,Ceramic,,,"Section number - 7E Trench Number - IC.3 Taken from scrap. Locality-Bluehill Falls, ME.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/10/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/10/2016,"Taylor, Marla",/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/10/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Beaver tooth implement.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Faunal Material,,July 2013 PastPerfect Conversion,3/1003,Beaver Tooth,,,A34,United States | ME | Hancock | Blue Hill,,,/ /,"Tooth, Modified",,,"Section number - 8E Trench Number - ID.1&2 Taken from scrap Locality-Bluehill Falls, ME.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/10/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/10/2016,"Taylor, Marla",/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Barbed harpoon fragment. Appears to be unilateral. Neither tip nor butt extant.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,RSPM,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,NBS,54,8,,,,,/ /,,Faunal Material,,Not found in NBS 37/11. New location updated 1/10/2013 by B. Sousa. July 2013 PastPerfect Conversion,3/1005,"Point, Harpoon",,,A37,United States | ME | Hancock | Blue Hill,,,/ /,"Bone, Modified",,,"Provenience Description Bluehill Falls, Me. - Taken from scrap above grave 2 in pebbles.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,Late Archaic Moorehead Phase,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,Shell flecked humus.,,,,,,,,,,,,,/ /,,,,,/ /,,,Burial association unlikely.,/ /,Other,,,,,,,,,,,,,G2,,,,,,,IC/7E,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,2 fragments stone arrow points,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1006,"Point, Projectile",,,13,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Chipped",,,"Bluehill Falls, Me. Surface.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,1 chipped stone knife,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1007,Blade,,,13A,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Chipped",,,"Bluehill Falls, Me. Surface.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Butt of adze? Surface,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1008,Adze,,,13b,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Ground",,,"Bluehill Falls, Me. Surface.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Edge of polished slate tool.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1009,Unknown Object,,,13C,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Ground",,,"Bluehill Falls, Me. Surface.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Large plummet.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1010,Plummet,,,6,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Ground",,,"Bluehill Falls, Me. On beach, surface.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
3,0.00,,,,O,Work Duty,05/17/2016,Archaeology,,/ /,,,/ /,,,,,,,,0.00,0.00,,,Point of large broken chipped knife.,2,,0,,0,,,,,/ /,/ / : : AM,,,12: Archaeology,,,0,,/ /,,,,0.00,,/ /,0,,,/ /,,0,/ /,,,,,,,,/ /,,Stone,,July 2013 PastPerfect Conversion,3/1011,Blade,,,9,United States | ME | Hancock | Blue Hill,,,/ /,"Stone, Chipped",,,"Bluehill Falls, Me. Sod.",,Expedition,,,,,/ /,,,,Nevin Shellheap,42.001,Entered,Work Duty,05/17/2016,,,,,/ /,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,/ /,/ /,,/ /,,,,,,,,,,05/17/2016,Work duty,/ /,.F.,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,/ /,,,,,,,,,,,,,,0,0,0,,/ /,,,,,,,,,0,0,0,,,,,,,,,,,,,,/ /,,,,,/ /,,,,/ /,,,,,,,,,,,,,,1,,,,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00
